slug,name,city,state,email,phone,website,status,confidence,is_heritage,primary_genres,gaps_count,source_count,next_action
paul-cauthen-tyler,Paul Cauthen,Tyler,TX,,,https://paulcauthen.com,active,Medium,no,country,5,2,Contact via paulcauthen.com for booking and fee inquiry.
adia-victoria-nashville,Adia Victoria,Nashville,TN,,,https://mn2s.com/booking-agency/talent-roster/adia-victoria/,active,Medium,no,Americana,6,1,Contact MN2S booking agency at mn2s.com/booking-agency/talent-roster/adia-victoria for inquiry.
jamey-johnson-unknown,Jamey Johnson,,AL,,,https://jameyjohnson.com,active,Medium,no,country,5,1,Contact WME or jameyjohnson.com for booking inquiry.
william-bell-memphis,William Bell,Memphis,TN,,,https://williambellmusic.com,active,Medium,yes,soul,6,3,Contact williambellmusic.com to confirm current touring status and booking process.
lucero-memphis,Lucero,Memphis,TN,acolvin@wmeentertainment.com,,https://luceromusic.com,active,High,no,Americana,3,2,Email Andrew Colvin at acolvin@wmeentertainment.com (WME Nashville) re: Lucero booking.
north-mississippi-allstars-memphis,North Mississippi Allstars,Memphis,TN,jknight@teamwass.com,,https://www.nmallstars.com,active,High,no,hill_country_blues,3,2,Email Joshua Knight at jknight@teamwass.com (Wasserman Music) re: North Mississippi Allstars booking.
marc-broussard-carencro,Marc Broussard,Carencro,LA,,,https://www.marcbroussard.com,active,Medium,no,soul,5,2,Contact via marcbroussard.com for booking inquiry.
tank-and-the-bangas-new-orleans,Tank and the Bangas,New Orleans,LA,,,https://tankandthebangas.com,active,Medium,no,hip-hop,5,2,Contact via tankandthebangas.com for booking inquiry.
big-freedia-new-orleans,Big Freedia,New Orleans,LA,,,https://bigfreedia.com,active,Medium,no,hip-hop,5,2,Contact via bigfreedia.com for booking inquiry.
trombone-shorty-orleans-avenue-new-orleans,Trombone Shorty & Orleans Avenue,New Orleans,LA,,,https://tromboneshortyfoundation.org,active,Medium,no,jazz,5,1,Contact WME / William Morris for Trombone Shorty booking inquiry.
pj-morton-new-orleans,PJ Morton,New Orleans,LA,,,https://pjmorton.com,active,Medium,no,R&B,5,2,Contact via pjmorton.com for booking inquiry.
don-trip-memphis,Don Trip,Memphis,TN,,,,active,Medium,no,hip-hop,4,2,Instagram DM to @mrdontrip for booking inquiry.
tonina-los-angeles,Tonina,Los Angeles,CA,,,https://www.saltlickincubator.org/meet-our-artists,active,Low,no,R&B,6,1,Contact Salt Lick Incubator at saltlickincubator.org for Tonina booking.
dumpstaphunk-new-orleans,Dumpstaphunk,New Orleans,LA,,,https://dumpstaphunk.com,active,Medium,no,jazz,5,2,Contact via dumpstaphunk.com/shows for booking inquiry.
galactic-new-orleans,Galactic,New Orleans,LA,,,https://galacticfunk.com,active,Medium,no,jazz,5,1,Contact via galacticfunk.com for booking inquiry.
rising-stars-fife-and-drum-band-coldwater,Rising Stars Fife and Drum Band,Coldwater,MS,,,https://arts.ms.gov/artist/rising-stars-fife-and-drum-band/,active,High,no,folk,4,2,Contact Mississippi Arts Commission at arts.ms.gov for Rising Stars Fife and Drum Band booking.
the-como-mamas-como,The Como Mamas,Como,MS,,,https://www.musicmaker.org/artist/the-como-mamas-2/,unknown,Low,no,gospel,5,1,Contact Music Maker Foundation at musicmaker.org/artist/the-como-mamas-2/ to verify active status.
rebirth-brass-band-new-orleans,Rebirth Brass Band,New Orleans,LA,,,https://rebirthbrassband.com,active,High,yes,brass_band,5,3,Contact via rebirthbrassband.com for booking inquiry.
hot-8-brass-band-new-orleans,Hot 8 Brass Band,New Orleans,LA,,(917) 821-1878,http://www.hot8brassband.com,active,High,no,brass_band,3,2,Call (917) 821-1878 for Hot 8 Brass Band booking inquiry.
kermit-ruffins-the-barbecue-swingers-new-orleans,Kermit Ruffins & the Barbecue Swingers,New Orleans,LA,info@bluenilelive.com,,https://www.kermitslounge.com,active,High,no,jazz,3,2,Email info@bluenilelive.com or visit kermitslounge.com for Kermit Ruffins booking.
the-soul-rebels-new-orleans,The Soul Rebels,New Orleans,LA,,,https://soulrebels.com,active,Medium,no,brass_band,5,1,Contact via soulrebels.com for booking inquiry.
preservation-hall-jazz-band-new-orleans,Preservation Hall Jazz Band,New Orleans,LA,,,https://www.preservationhall.com,active,Medium,yes,jazz,5,2,Contact Preservation Hall Foundation via preservationhall.com for booking inquiry.
jimbo-mathus-unknown,Jimbo Mathus,,MS,,,https://www.therealjimbomathus.com,active,Medium,no,Americana,4,2,Contact via therealjimbomathus.com for booking inquiry.
ivan-neville-new-orleans,Ivan Neville,New Orleans,LA,,,https://dumpstaphunk.com,active,Medium,no,jazz,5,1,Contact via dumpstaphunk.com for Ivan Neville solo or Dumpstaphunk booking.
randy-19th-street-red-cohen-clarksdale,"Randy ""19th Street Red"" Cohen",Clarksdale,MS,roger@cathead.biz,,https://www.cathead.biz,active,Medium,no,delta_blues,3,1,Email Roger Stolle at roger@cathead.biz for Randy 19th Street Red Cohen booking.
tuba-skinny-new-orleans,Tuba Skinny,New Orleans,LA,john@nstarartists.com,(763) 999-7700,http://tubaskinny.com,active,Medium,no,jazz,4,3,Email John Lochen at john@nstarartists.com (Northstar Artists) re: Tuba Skinny booking.
rob-robinson-heavydrunk-natchez,Rob Robinson / HeavyDrunk,Natchez,MS,,,https://heavydrunk.com,active,High,no,electric_blues,5,5,Contact via heavydrunk.com or robrobinsonmusic.com to discuss booking and confirm whether smaller-configuration shows are available for sub-500-cap venues.
sean-bad-apple-clarksdale,"Sean ""Bad"" Apple",Clarksdale,MS,,,,active,Low,no,delta_blues,6,1,Visit or call Bad Apple Blues Club in Clarksdale directly for booking inquiry.
bill-abel-clarksdale,Bill Abel,Clarksdale,MS,,,,active,Low,no,electric_blues,5,1,Contact Ground Zero Blues Club booking department re: Bill Abel scheduling and contact info.
garry-burnside-holly-springs,Garry Burnside,Holly Springs,MS,,,,active,Low,no,hill_country_blues,5,1,Contact via King Biscuit Week organizers or Live From Clarksdale re: Garry Burnside booking.
lightnin-malcolm-oxford,Lightnin' Malcolm,Oxford,MS,,,,active,Low,no,hill_country_blues,6,1,Contact King Biscuit Week / Live From Clarksdale organizers re: Lightnin' Malcolm booking info.
robert-kimbrough-sr-marshall-county,Robert Kimbrough Sr.,Marshall County,MS,,,,active,Low,no,hill_country_blues,5,2,Contact Red's Lounge or Live From Clarksdale re: Robert Kimbrough Sr. booking and contact info.
watermelon-slim-unknown,Watermelon Slim,,MS,,,,active,Low,no,electric_blues,6,2,Contact Rob Robinson via heavydrunk.com for Watermelon Slim contact information.
stud-ford-unknown,Stud Ford,,MS,,,,unknown,Low,no,electric_blues,7,1,Contact King Biscuit Week / Live From Clarksdale organizers re: Stud Ford contact info.
keith-johnson-big-muddy-blues-band-unknown,Keith Johnson & Big Muddy Blues Band,,MS,,,,active,Low,no,electric_blues,6,2,Contact Ground Zero Blues Club or Live From Clarksdale re: Keith Johnson & Big Muddy Blues Band booking.
charley-patton-dockery-farms,Charley Patton,Dockery Farms,MS,,,https://www.dockeryfarms.org,deceased,High,yes,delta_blues,3,2,"Contact Dockery Farms Foundation (dockeryfarms.org) re: licensing, programming, or historical partnership."
robert-johnson-hazlehurst,Robert Johnson,Hazlehurst,MS,,,https://www.robertjohnsonbluesfoundation.org,deceased,High,yes,delta_blues,3,3,Contact Robert Johnson Blues Foundation: mjohnson@robertjohnsonbluesfoundation.org or (601) 613-0805 for licensing or programming inquiries.
son-house-lyon,Son House,Lyon,MS,,,,deceased,Medium,yes,delta_blues,4,2,Contact Columbia/Legacy Records re: Son House catalog licensing.
skip-james-bentonia,Skip James,Bentonia,MS,,,,deceased,Medium,yes,delta_blues,4,3,Contact Vanguard/Concord re: Skip James catalog licensing.
mississippi-john-hurt-avalon,Mississippi John Hurt,Avalon,MS,,,https://msjohnhurtfoundation.org,deceased,High,yes,delta_blues,3,3,Contact Mississippi John Hurt Foundation (312-810-1954) re: programming or licensing partnerships.
willie-brown-clarksdale,Willie Brown,Clarksdale,MS,,,https://www.dockeryfarms.org,deceased,Medium,yes,delta_blues,4,2,Contact Dockery Farms Foundation (dockeryfarms.org) re: programming or historical context.
tommy-johnson-crystal-springs,Tommy Johnson,Crystal Springs,MS,,,,deceased,Medium,yes,delta_blues,4,2,"Contact MS Blues Trail (msbluestrail.org) or Crystal Springs, MS community re: Tommy Johnson heritage programming."
bukka-white-houston,Bukka White,Houston,MS,,,,deceased,Medium,yes,delta_blues,4,2,Contact MS Blues Trail (msbluestrail.org) re: Bukka White heritage programming in Aberdeen MS.
bo-carter-bolton,Bo Carter,Bolton,MS,,,,deceased,Medium,yes,delta_blues,4,2,Contact Mississippi Encyclopedia (mississippiencyclopedia.org) or Document Records re: Bo Carter heritage research.
memphis-minnie-walls,Memphis Minnie,Walls,MS,,,,deceased,Medium,yes,delta_blues,4,2,Contact MS Blues Trail (msbluestrail.org) or Blues Foundation (blues.org) re: Memphis Minnie heritage programming.
big-bill-broonzy-scott,Big Bill Broonzy,Scott,MS,,,,deceased,Medium,yes,delta_blues,4,2,Contact Blues Foundation (blues.org) re: Big Bill Broonzy heritage programming.
blind-lemon-jefferson-wortham,Blind Lemon Jefferson,Wortham,TX,,,,deceased,Medium,yes,delta_blues,4,2,Contact Blues Foundation (blues.org) re: Blind Lemon Jefferson heritage programming.
lead-belly-mooringsport,Lead Belly,Mooringsport,LA,,,https://leadbelly.org,deceased,High,yes,delta_blues,3,2,Contact Lead Belly Foundation (leadbelly.org) re: heritage programming.
furry-lewis-memphis,Furry Lewis,Memphis,TN,,,,deceased,Medium,yes,delta_blues,4,1,Contact Memphis Music Hall of Fame (memphismusichalloffame.com) re: Furry Lewis heritage programming.
sleepy-john-estes-brownsville,Sleepy John Estes,Brownsville,TN,,,,deceased,Medium,yes,delta_blues,4,2,Contact Tennessee Encyclopedia or Delmark Records re: Sleepy John Estes heritage programming.
mississippi-fred-mcdowell-como,Mississippi Fred McDowell,Como,MS,,,,deceased,High,yes,hill_country_blues,3,2,Contact Mt. Zion Memorial Fund (mtzionmemorialfund.com) re: heritage programming.
muddy-waters-rolling-fork,Muddy Waters,Rolling Fork,MS,,,https://muddywatersfoundation.com,deceased,High,yes,electric_blues,3,2,Contact Muddy Waters Foundation (muddywatersfoundation.com) re: heritage programming or licensing.
howlin-wolf-west-point,Howlin' Wolf,West Point,MS,bettye@howlinwolfestate.com,,https://howlinwolfestate.com,deceased,High,yes,electric_blues,3,2,Contact Howlin' Wolf Estate: bettye@howlinwolfestate.com re: licensing or programming.
bb-king-itta-bena,B.B. King,Itta Bena,MS,info@bbkingmuseum.org,662-887-9539,https://bbkingmuseum.org,deceased,High,yes,electric_blues,2,3,Contact B.B. King Museum (info@bbkingmuseum.org / 662-887-9539) re: Club Ebony programming or heritage partnerships.
albert-king-indianola,Albert King,Indianola,MS,,,https://www.staxmuseum.com,deceased,Medium,yes,electric_blues,4,2,Contact Stax Museum (staxmuseum.com) re: Albert King heritage programming.
little-milton-greenville,Little Milton,Greenville,MS,,,,deceased,Medium,yes,electric_blues,4,2,Contact Stax Museum (staxmuseum.com) re: Little Milton heritage programming.
john-lee-hooker-clarksdale,John Lee Hooker,Clarksdale,MS,,,https://www.johnleehooker.com,deceased,High,yes,electric_blues,4,2,Contact John Lee Hooker Estate through johnleehooker.com re: licensing or programming.
junior-parker-bobo,Junior Parker,Bobo,MS,,,,deceased,Medium,yes,electric_blues,4,1,Contact MS Blues Trail (msbluestrail.org) re: Junior Parker marker and heritage context.
elmore-james-richland,Elmore James,Richland,MS,,,,deceased,Medium,yes,electric_blues,4,2,Contact Rock and Roll Hall of Fame (rockhall.com) re: Elmore James heritage programming.
sonny-boy-williamson-ii-glendora,Sonny Boy Williamson II,Glendora,MS,,,,deceased,High,yes,electric_blues,3,2,Contact King Biscuit Blues Festival (kingbiscuitfestival.com) re: heritage programming and Sonny Boy Williamson II legacy.
jimmy-reed-dunleith,Jimmy Reed,Dunleith,MS,,,,deceased,Medium,yes,electric_blues,4,2,Contact Fantasy/Concord Music re: Jimmy Reed catalog licensing.
big-mama-thornton-montgomery,Big Mama Thornton,Montgomery,AL,,,,deceased,Medium,yes,electric_blues,4,1,Contact Fantasy/Concord Music re: Big Mama Thornton catalog and heritage programming.
rl-burnside-harmontown,R.L. Burnside,Harmontown,MS,,,https://fatpossum.com,deceased,High,yes,hill_country_blues,3,2,Contact Fat Possum Records (fatpossum.com) re: R.L. Burnside catalog licensing.
junior-kimbrough-hudsonville,Junior Kimbrough,Hudsonville,MS,,,https://fatpossum.com,deceased,High,yes,hill_country_blues,3,3,Contact Fat Possum Records (fatpossum.com) re: Junior Kimbrough catalog licensing or Kimbrough Cotton Patch Festival contacts.
t-model-ford-greenville,T-Model Ford,Greenville,MS,,,,deceased,Medium,yes,hill_country_blues,4,2,Contact Fat Possum Records (fatpossum.com) re: T-Model Ford catalog licensing.
jessie-mae-hemphill-como,Jessie Mae Hemphill,Como,MS,,,,deceased,Medium,yes,hill_country_blues,4,2,Contact University of Memphis Blues Archive re: High Water Records catalog and Jessie Mae Hemphill heritage.
othar-turner-como,Othar Turner,Como,MS,,,https://othaturner.com,deceased,Medium,yes,folk,4,2,Contact Shardé Thomas via Mississippi Arts Commission (arts.ms.gov) re: Othar Turner legacy and estate.
asie-payton-holly-ridge,Asie Payton,Holly Ridge,MS,,,,deceased,Low,yes,hill_country_blues,4,1,Contact Fat Possum Records (fatpossum.com) re: Asie Payton catalog and estate.
paul-wine-jones-jackson,"Paul ""Wine"" Jones",Jackson,MS,,,,deceased,Low,yes,delta_blues,4,1,Contact Fat Possum Records (fatpossum.com) re: Paul Wine Jones catalog and estate.
booker-t-jones-memphis,Booker T. Jones,Memphis,TN,,,https://bookert.com,active,Medium,yes,soul; R&B,4,2,Contact via bookert.com for booking inquiries.
mavis-staples-chicago,Mavis Staples,Chicago,IL,,,https://www.mavisstaples.com,active,Medium,yes,gospel; soul,4,2,Contact Red Light Management re: Mavis Staples booking.
steve-cropper-memphis,Steve Cropper,Memphis,TN,,,,deceased,High,yes,soul; R&B,3,2,Contact Soulsville Foundation (soulsvillefoundation.org) re: Steve Cropper estate and licensing.
don-bryant-memphis,Don Bryant,Memphis,TN,,,,deceased,Medium,yes,soul; R&B,4,2,Contact Soulsville Foundation re: Don Bryant estate and Hi Records licensing.
eddie-floyd-montgomery,Eddie Floyd,Montgomery,AL,,,,unknown,Low,yes,soul; R&B,4,1,Contact Soulsville Foundation (soulsvillefoundation.org) to confirm Eddie Floyd current touring status and booking.
carla-thomas-memphis,Carla Thomas,Memphis,TN,,,,retired,Medium,yes,soul; R&B,4,2,Contact Soulsville Foundation (soulsvillefoundation.org) re: Carla Thomas appearance requests.
wayne-jackson-west-memphis,Wayne Jackson,West Memphis,AR,,,,deceased,Medium,yes,soul; R&B,4,2,Contact Soulsville Foundation re: Wayne Jackson / Memphis Horns legacy.
isaac-hayes-memphis,Isaac Hayes,Memphis,TN,,,,deceased,High,yes,soul; R&B,3,1,Contact Soulsville Foundation (soulsvillefoundation.org) re: Isaac Hayes estate and licensing.
david-porter-memphis,David Porter,Memphis,TN,,,,active,Low,yes,soul; R&B,4,1,Contact Soulsville Foundation (soulsvillefoundation.org) re: David Porter current availability.
spooner-oldham-sheffield,Spooner Oldham,Sheffield,AL,,,,active,Low,yes,soul; R&B,4,2,Contact FAME Studios (famestudios.com) re: Spooner Oldham current availability and booking.
david-hood-sheffield,David Hood,Sheffield,AL,,,https://famestudios.com/david-hood/,active,Medium,yes,soul; R&B,4,2,Contact FAME Studios (famestudios.com) re: David Hood current availability and booking.
will-mcfarlane-coronado,Will McFarlane,Coronado,CA,,,,active,Low,yes,R&B; soul,5,1,Contact Roots of American Music Trail (UNA: musictrail.una.edu) re: Will McFarlane booking and current status.
jimmy-johnson-sheffield,Jimmy Johnson,Sheffield,AL,,,,deceased,Medium,yes,soul; R&B,4,1,Contact Muscle Shoals Sound Studio (muscleshoalssoundstudio.org) re: Jimmy Johnson estate and legacy.
roger-hawkins-sheffield,Roger Hawkins,Sheffield,AL,,,,deceased,Medium,yes,soul; R&B,4,2,Contact Muscle Shoals Sound Studio (muscleshoalssoundstudio.org) re: Roger Hawkins estate and legacy.
jerry-carrigan-florence,Jerry Carrigan,Florence,AL,,,,deceased,Medium,yes,soul; country,4,1,Contact Alabama Music Hall of Fame (alamhof.org) re: Jerry Carrigan estate and legacy.
fats-domino-new-orleans,Fats Domino,New Orleans,LA,,,,deceased,High,yes,R&B; rock,3,2,Contact Ponderosa Stomp Foundation (ponderosastomp.com) re: Fats Domino estate licensing.
allen-toussaint-new-orleans,Allen Toussaint,New Orleans,LA,,,,deceased,High,yes,soul; R&B,4,2,Contact Preservation Hall Foundation (preservationhall.com) re: Allen Toussaint estate and licensing.
dr-john-new-orleans,Dr. John,New Orleans,LA,,,,deceased,High,yes,R&B; soul,4,2,Contact Rock and Roll Hall of Fame (rockhall.com) or Preservation Hall Foundation (preservationhall.com) re: Dr. John estate licensing.
ernie-k-doe-new-orleans,Ernie K-Doe,New Orleans,LA,,,,deceased,High,yes,R&B; soul,4,2,Contact Ponderosa Stomp Foundation (ponderosastomp.com) re: Ernie K-Doe estate licensing.
irma-thomas-ponchatoula,Irma Thomas,Ponchatoula,LA,,,https://www.irmathomas.com,active,Medium,yes,soul; R&B,4,2,Contact via irmathomas.com for booking inquiries.
deacon-john-new-orleans,Deacon John,New Orleans,LA,,,,active,Low,yes,R&B; soul,4,2,Contact New Orleans Musicians Union Local 174-496 re: Deacon John booking.
aaron-neville-new-orleans,Aaron Neville,New Orleans,LA,,,https://www.aaronneville.com,active,Medium,yes,soul; R&B,4,2,Contact via aaronneville.com for booking inquiries.
dirty-dozen-brass-band-new-orleans,Dirty Dozen Brass Band,New Orleans,LA,,,https://www.dirtydozenbrass.com,active,Medium,yes,brass_band; jazz,4,1,Contact via dirtydozenbrass.com for booking inquiries.
dr-michael-white-new-orleans,Dr. Michael White,New Orleans,LA,,,https://www.drmichaelwhite.com,active,Medium,yes,jazz,4,2,Contact Xavier University of Louisiana (xula.edu) or Preservation Hall Foundation (preservationhall.com) re: Dr. Michael White booking.
charley-pride-sledge,Charley Pride,Sledge,MS,,,,deceased,High,yes,country,4,3,Contact Country Music Hall of Fame (countrymusichalloffame.org) re: Charley Pride estate licensing.
conway-twitty-friars-point,Conway Twitty,Friars Point,MS,,,,deceased,Medium,yes,country,4,2,Contact Country Music Hall of Fame (countrymusichalloffame.org) re: Conway Twitty estate licensing.
jimmy-buffett-pascagoula,Jimmy Buffett,Pascagoula,MS,,,,deceased,High,yes,country,4,1,Contact Mailboat Records (mailboatrecords.com) re: Jimmy Buffett estate and licensing.
marty-stuart-philadelphia,Marty Stuart,Philadelphia,MS,,,https://martystuart.net,active,Medium,yes,country,4,2,Contact via martystuart.net or Congress of Country Music (congressofcountrymusic.com) for booking.
tammy-wynette-itawamba-county,Tammy Wynette,Itawamba County,MS,,,,deceased,High,yes,country,4,2,Contact Country Music Hall of Fame (countrymusichalloffame.org) re: Tammy Wynette estate licensing.
pops-staples-winona,Pops Staples,Winona,MS,,,,deceased,High,yes,gospel; soul,3,2,Contact Red Light Management (via mavisstaples.com) re: Pops Staples / Staple Singers estate and licensing.
sam-cooke-clarksdale,Sam Cooke,Clarksdale,MS,,,,deceased,High,yes,soul; gospel,3,3,Contact ABKCO Music and Records (abkco.com) re: Sam Cooke estate licensing.
