slug,name,city,state,email,phone,website,source_count,gaps_count,analog_tape,console,custom_unit,"delta_magic___gist_music_(helena,_ar)",digital,echo_chambers,effects,iconic_outboard,instruments,key_compressors,key_compressors_eq,key_mics,key_outboard,mastering_room,microphones,mics,monitoring,monitors,notable_addition_(2023),room
b6-muscle-shoals-sound-studio-3614-jackson-hwy-sheffield-al,"B6. Muscle Shoals Sound Studio *(3614 Jackson Hwy, Sheffield, AL)*",,,,,,0,0,,,,,,,,,,,,,,,,,,,,
b7-malaco-studios-jackson-ms,"B7. Malaco Studios *(Jackson, MS)*",,,,,,0,0,,,,,,,,,,,,,,,,,,,,
b8-ardent-studios-memphis-tn,"B8. Ardent Studios *(Memphis, TN)*",,,,,,0,0,,,,,,,,,,,,,,,,,,,,
b9-trumpet-records-jackson-ms,"B9. Trumpet Records *(Jackson, MS)*",,,,,,0,0,,,,,,,,,,,,,,,,,,,,
b10-cosimo-matassas-jm-studio-new-orleans-la,"B10. Cosimo Matassa's J&M Studio *(New Orleans, LA)*",,,,,,0,0,,,,,,,,,,,,,,,,,,,,
b11-sea-saint-studios-new-orleans-la,"B11. Sea-Saint Studios *(New Orleans, LA)*",,,,,,0,0,,,,,,,,,,,,,,,,,,,,
studios-confirmed-active-data-partially-missing,Studios Confirmed Active — Data Partially Missing,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
studios-with-uncertain-unconfirmed-status-20242026,Studios with Uncertain / Unconfirmed Status (2024–2026),,,,,,0,0,,,,,,,,,,,,,,,,,,,,
corridor-geography-notes,Corridor Geography Notes,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
research-sources-used,Research Sources Used,,,,,,0,0,,,,,,,,,,,,,,,,,,,,
